NAME,URL,SECTOR,TWITTER,DATA SOURCE
SumUp,https://sumup.com,Telecommunications & Networking,@SumUp_UK,"AIB, Bank of Ireland, IVCA"
Sunengen,http://www.sunengen.com,Environment (green/clean),,Crunchbase
Suntico,http://www.suntico.com,Enterprise,@Suntico,"AIB, Bank of Ireland, IVCA"
SuperPixel,http://lovesuperpixel.com,Enterprise,@SuperPixeI,"Dublin BIC, EI HPSU"
Suprfan,www.stitcherads.com,Advertising & Marketing,@suprfan,Crunchbase
SureDatum,http://suredatum.com/,Enterprise,,"Synergy Centre, ITT"
Surewash,http://www.surewash.com/,Big Data & Analytics,@surewash,Trinity Research & Innovation
Swap-Able,http://www.swap-able.com/,Philanthropy & Social Good,,"GEC, DIT Hothouse"
SwiftComply,https://www.swiftcomply.ie/,Enterprise,,
SwiftQueue,http://www.swiftQueue.com,Digital Health,@swiftQueue,"Bank of Ireland, IVCA, EI, Silicon Republic"
Switch Metrics,http://switchmetrics.com/,Big Data & Analytics,@lucyfr,
Swrve,www.swrve.com,Telecommunications & Networking,@Swrve_Inc,"AIB, Trinity Research & Innovation"
Swrve Mobile,https://www.swrve.com/,Telecommunications & Networking,,"AIB, LEO"
Synced.io,http://www.synced.io,eCommerce,@Syncedio,Digital Hub
SynergySuite,http://www.synergysuite.com,Enterprise,@synergysuite,AIB
Synference,https://www.crunchbase.com/organization/synference#/entity,Big Data & Analytics,,Accenture
Synthetech,www.synthetechinc.com,Entertainment & Publishing,,DIT Hothouse
SysComm,http://syscomm.ie/,MedTech,,Synergy Centre
Sysnet,www.sysnetglobalsolutions.com,Security & Encryption,,Accenture
Sytorus,http://www.sytorus.com/,Security & Encryption,@SytorusDP,Dublin BIC
TableBookings,http://www.tablebookings.com,Entertainment & Publishing,@TableBookingsHQ,Crunchbase
Talentevo,http://www.talentevo.com,Enterprise,@talentevo,"AIB, Dublin BIC, Accenture"
Talenthub,http://www.talenthub.ie/,HR & Recruitment,@TalentHubNews,Web Summit
TalentPack,http://www.talentpack.com,Enterprise,@TalentPack,"Bank of Ireland, IVCA"
Tapadoo,http://tapadoo.com,Telecommunications & Networking,@tapadoo,"LEO, NDRC"
Tapastreet,http://www.tapastreet.com,Big Data & Analytics,@tapastreet,Accenture
Tapir,http://www.tapir.me/,Enterprise,@GoTapir,"Bank of Ireland, IVCA"
Task Messenger,http://taskmessenger.com,Enterprise,@TaskMessenger,Crunchbase
TaskBiller,http://taskbiller.com/,Enterprise,@taskbiller,Crunchbase
Taxamo,www.taxamo.com,Enterprise,,Accenture
TCAS Online,http://tcasonline.com,Enterprise,@TCAS_Online,"AIB, Dublin BIC"
TeamSkill,http://www.teamskill.com,Enterprise,,Crunchbase
TeamTalk,http://www.teamtalk.io/,Social Media,@teamtalksports,Web Summit
